Name,Sex,Event,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Glossbrenner,IPFPoints,Tested,Country,Federation,Date,MeetCountry,MeetState,MeetName
Dustin Dolphin,M,SBD,Raw,36.0,35-39,Submasters 35-39,85.8,90,,,,,170.0,,,,,,,,,,205.0,,DQ,,,,,,,USPA,2018-10-13,USA,TX,The John Griffin Open
Jeff Wang,M,SBD,Raw,26.0,24-34,Open,88.72,90,197.5,215.0,-227.5,,215.0,125.0,140.0,-152.5,,140.0,247.5,260.0,272.5,,272.5,627.5,1,403.56,403.56,389.03,600.18,,,365Strong,2017-06-10,USA,MO,Midwest Regionals
Alejandro Domínguez Sánchez,M,SBD,Raw,29.5,24-34,SNR,112.46,120,170.0,180.0,-192.5,,180.0,-110.0,110.0,115.0,,115.0,195.0,207.5,217.5,,217.5,512.5,6,299.63,299.63,286.77,407.05,Yes,,AEP,2016-02-27,Spain,,Campeonato de la Comunidad Madrileña Promocional
Christian De Leon,M,SBD,Raw,23.0,20-23,Juniors 20-23,81.92,82.5,,,,,187.5,,,,,127.5,,,,,242.5,557.5,6,375.06,375.06,362.14,553.28,,,USPA,2015-03-27,USA,CA,California State Powerlifting Championships
Preschalan Govender,M,SBD,Raw,26.0,24-34,Open,70.8,74,130.0,140.0,152.5,,152.5,105.0,115.0,-125.0,,115.0,210.0,225.0,235.0,,235.0,502.5,1,373.33,373.33,361.63,546.32,Yes,,NZPF,2013-08-31,New Zealand,AKL,Auckland 3-Lift Powerlifting & Bench Press Competition
Christian Carsín Fernández,M,SBD,Raw,21.5,20-23,SNR,80.52,83,190.0,202.5,212.5,,212.5,122.5,127.5,-135.0,,127.5,210.0,220.0,230.0,,230.0,570.0,2,387.56,391.44,374.33,574.5,Yes,,AEP,2018-12-15,Spain,,V Campeonato de Andalucia de Powerlifting y Press Banca RAW
Gergo Opra,M,SBD,Raw,22.5,20-23,Juniors,102.02,105,-245.0,245.0,265.0,,265.0,175.0,182.5,-187.5,,182.5,275.0,290.0,295.0,,295.0,742.5,4,448.37,448.37,430.65,664.95,Yes,Hungary,EPF,2017-03-12,Denmark,,European Classic Powerlifting Championships
Devinlee Brown,M,SBD,Raw,,,20-24,90.0,90,,,,,172.37,,,,,154.22,,,,,204.12,530.7,1,338.8,338.8,326.49,489.75,,,RAWU,2010-06-19,USA,FL,Mike Witmer Memorial
Jeremy Steingreber,M,SBD,Raw,38.0,35-39,Submasters 35-39,89.6,90,,,,,162.5,,,,,110.0,,,,,190.0,462.5,1,295.93,295.93,285.21,417.21,Yes,,NORCAL,2017-03-26,USA,CA,Regionals
Mike Skelton,M,SBD,Raw,46.5,45-49,MR-M1b,111.7,120,222.5,235.0,250.0,,250.0,170.0,182.5,190.0,,190.0,260.0,272.5,282.5,,282.5,722.5,1,423.24,452.02,405.18,610.93,Yes,,USAPL,2015-12-05,USA,CO,Colorado State Championships
Fiachra Daly,M,SBD,Raw,16.5,16-17,MR-T2,63.3,66,,,,,102.5,,,,,62.5,,,,,117.5,282.5,11,229.76,248.14,223.36,298.59,Yes,,USAPL,2015-03-15,USA,MA,5th Annual Ryan Moore N.E. Open High School Championships
Jesse Mans,M,SBD,Raw,,,Sub-Juniors,70.6,74,,,,,87.5,,,,,75.0,,,,,122.5,285.0,3,212.19,212.19,205.56,273.79,Yes,,CPU,2014-03-25,Canada,ON,Hamilton Regional High School Championship
Martin August Størkson Kvile,M,SBD,Raw,,,Open,91.1,93,190.0,200.0,-210.0,,200.0,152.5,160.0,165.0,,165.0,220.0,235.0,,,235.0,600.0,6,380.71,380.71,366.78,560.26,Yes,,NSF,2014-03-28,Norway,,Nasjonalt utstyrsfritt styrkeløft
Lawrence Grooms,M,SBD,Raw,35.0,35-39,Submasters 35-39,122.9,125,,,,,200.0,,,,,155.0,,,,,237.5,592.5,3,338.83,338.83,323.0,459.19,,,USPA,2019-01-13,USA,TN,3rd Annual Tennessee Open
Steven Wang,M,SBD,Raw,25.0,24-34,Open,72.94,75,,,,,137.5,,,,,80.0,,,,,142.5,360.0,7,261.64,261.64,253.25,358.52,,,USPA,2013-01-12,USA,CA,UCLA vs San Jose State Collegiate
Mario Martinez,M,SBD,Raw,20.5,20-23,MR-Jr,100.5,105,185.0,197.5,205.0,,205.0,125.0,-135.0,-135.0,,125.0,230.0,240.0,250.0,,250.0,580.0,2,352.28,359.33,338.52,505.65,Yes,Guatemala,USAPL,2017-04-22,USA,VA,4th Annual NoVa Open
Nick Taylor,M,SBD,Raw,31.0,24-34,Open,81.24,83,150.0,160.0,170.0,,170.0,-90.0,100.0,-110.0,,100.0,185.0,190.0,195.0,,195.0,465.0,1,314.43,314.43,303.65,450.12,Yes,,NZPF,2017-06-17,New Zealand,WGN,CDPA Club Lift
Erik Reppel,M,SBD,Raw,,,Juniors,117.4,120,,,,,200.0,,,,,132.5,,,,,227.5,560.0,1,323.66,323.66,309.19,441.1,Yes,,CPU,2014-09-27,Canada,BC,Thunderbird Challenge
Jesse Ward,M,SBD,Raw,30.0,24-34,Open,91.6,100,,,,,135.0,,,,,97.5,,,,,182.5,415.0,6,262.61,262.61,252.97,360.0,,,USPA,2017-10-07,USA,NY,Long Island Columbus Day Classic
Artem Gerasimov,M,SBD,Raw,16.0,16-17,T (16-17),59.2,60,120.0,130.0,-140.0,,130.0,100.0,105.0,-110.0,,105.0,140.0,150.0,160.0,,160.0,395.0,1,341.07,385.41,332.54,478.55,Yes,Russia,WPC,2009-10-01,Russia,,Raw World Championships
